iter	Passed	Remaining
0	0	74
1	0	64
2	0	61
3	0	59
4	0	58
5	1	57
6	1	56
7	1	56
8	1	55
9	1	55
10	2	54
11	2	54
12	2	54
13	2	53
14	2	53
15	3	53
16	4	67
17	4	65
18	4	68
19	5	70
20	5	69
21	5	68
22	5	66
23	5	66
24	5	65
25	6	64
26	6	63
27	6	62
28	6	62
29	6	61
30	7	61
31	7	60
32	7	59
33	7	60
34	8	61
35	8	60
36	8	60
37	8	59
38	8	58
39	8	58
40	9	57
41	9	57
42	9	56
43	9	56
44	9	55
45	10	55
46	10	55
47	10	54
48	10	54
49	10	53
50	10	53
51	11	53
52	11	53
53	11	52
54	11	52
55	11	52
56	12	51
57	12	51
58	12	51
59	12	50
60	12	50
61	13	50
62	13	49
63	13	49
64	13	49
65	13	48
66	13	48
67	14	48
68	14	47
69	14	47
70	14	47
71	14	47
72	15	46
73	15	46
74	15	47
75	15	46
76	16	46
77	16	46
78	16	45
79	16	45
80	16	45
81	16	45
82	17	44
83	17	44
84	17	44
85	17	43
86	17	43
87	18	43
88	18	43
89	18	42
90	18	42
91	18	42
92	18	42
93	19	41
94	19	41
95	19	41
96	19	41
97	19	40
98	20	40
99	20	40
100	20	40
101	20	39
102	20	39
103	20	39
104	21	39
105	21	38
106	21	39
107	21	38
108	22	38
109	22	38
110	22	38
111	22	37
112	22	37
113	22	37
114	23	37
115	23	37
116	23	36
117	23	36
118	23	36
119	24	36
120	24	35
121	24	35
122	24	35
123	24	35
124	24	34
125	25	34
126	25	34
127	25	34
128	25	34
129	25	33
130	26	33
131	26	33
132	26	33
133	26	32
134	26	32
135	26	32
136	27	32
137	27	32
138	27	31
139	27	31
140	27	31
141	28	31
142	28	31
143	28	30
144	28	30
145	28	30
146	28	30
147	29	29
148	29	29
149	29	29
150	29	29
151	29	29
152	30	28
153	30	28
154	30	28
155	30	28
156	30	28
157	31	27
158	31	27
159	31	27
160	31	27
161	31	27
162	31	26
163	32	26
164	32	26
165	32	26
166	32	26
167	33	25
168	33	25
169	33	25
170	33	25
171	33	25
172	33	24
173	34	24
174	34	24
175	34	24
176	34	24
177	34	23
178	35	23
179	35	23
180	35	23
181	35	23
182	35	22
183	36	23
184	36	22
185	36	22
186	37	22
187	37	22
188	37	22
189	37	21
190	37	21
191	38	21
192	38	21
193	38	21
194	38	20
195	38	20
196	38	20
197	39	20
198	39	19
199	39	19
200	39	19
201	39	19
202	40	19
203	40	18
204	40	18
205	40	18
206	40	18
207	40	18
208	41	17
209	41	17
210	41	17
211	41	17
212	42	17
213	42	16
214	42	16
215	42	16
216	42	16
217	42	16
218	43	15
219	43	15
220	43	15
221	43	15
222	43	15
223	44	14
224	44	14
225	44	14
226	44	14
227	44	14
228	45	13
229	45	13
230	45	13
231	45	13
232	45	13
233	46	13
234	46	12
235	46	12
236	46	12
237	46	12
238	47	12
239	47	11
240	47	11
241	47	11
242	47	11
243	48	11
244	48	10
245	48	10
246	48	10
247	48	10
248	48	10
249	49	9
250	49	9
251	49	9
252	49	9
253	49	9
254	50	8
255	50	8
256	50	8
257	50	8
258	50	8
259	51	7
260	51	7
261	51	7
262	51	7
263	51	7
264	51	6
265	52	6
266	52	6
267	52	6
268	52	6
269	52	5
270	53	5
271	53	5
272	53	5
273	53	5
274	53	4
275	54	4
276	54	4
277	54	4
278	54	4
279	54	3
280	55	3
281	55	3
282	55	3
283	55	3
284	55	2
285	55	2
286	56	2
287	56	2
288	56	2
289	56	1
290	56	1
291	57	1
292	57	1
293	57	1
294	57	0
295	57	0
296	57	0
297	58	0
298	58	0
299	58	0
