"race","year","stage","stage_id","stage_num","stage_type","date","departure","arrival","parcours_type","distance","vertical_meters","profile_score","startlist_quality","avg_speed_winner","won_how","win_type","km_solo"
"Tour de France",1903,"Stage 1 | Montgeron  - Lyon","1",1,"Road race",1903-07-01,"Montgeron","Lyon","Flat",467,NA,NA,310,26.3,"0.2 km solo","Solo",0.2
"Tour de France",1903,"Stage 2 | Lyon - Marseille","2",2,"Road race",1903-07-05,"Lyon","Marseille","Mountains flat finish",374,NA,NA,310,25.83,"Sprint à deux","Sprint à deux",NA
"Tour de France",1903,"Stage 3 | Marseille - Toulouse","3",3,"Road race",1903-07-08,"Marseille","Toulouse","Flat",423,NA,NA,310,23.61,"? km solo","Solo",NA
"Tour de France",1903,"Stage 4 | Toulouse - Bordeaux","4",4,"Road race",1903-07-12,"Toulouse","Bordeaux","Flat",268,NA,NA,310,30.57,"? km solo","Solo",NA
"Tour de France",1903,"Stage 5 | Bordeaux - Nantes","5",5,"Road race",1903-07-13,"Bordeaux","Nantes","Flat",425,NA,NA,310,25.85,NA,NA,NA
"Tour de France",1903,"Stage 6 | Nantes - Paris","6",6,"Road race",1903-07-18,"Nantes","Paris","Flat",471,NA,NA,310,25.95,NA,NA,NA
"Tour de France",1904,"Stage 1 | Paris - Lyon","1",1,"Road race",1904-07-02,"Paris","Lyon","Flat",467,NA,NA,550,26.31,NA,NA,NA
"Tour de France",1904,"Stage 2 | Lyon - Marseille","2",2,"Road race",1904-07-09,"Lyon","Marseille","Mountains flat finish",374,NA,NA,550,24.686,NA,NA,NA
"Tour de France",1904,"Stage 3 | Marseille - Toulouse","3",3,"Road race",1904-07-13,"Marseille","Toulouse","Flat",424,NA,NA,550,26.952,NA,NA,NA
"Tour de France",1904,"Stage 4 | Toulouse - Bordeaux","4",4,"Road race",1904-07-17,"Toulouse","Bordeaux","Flat",268,NA,NA,550,30.917,NA,NA,NA
"Tour de France",1904,"Stage 5 | Bordeaux - Nantes","5",5,"Road race",1904-07-20,"Bordeaux","Nantes","Flat",425,NA,NA,550,25.252,NA,NA,NA
"Tour de France",1904,"Stage 6 | Ville d'Avray - Paris","6",6,"Road race",1904-07-23,"Ville d'Avray","Paris","Flat",471,NA,NA,550,24.2,NA,NA,NA
